q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_fe56,	xn_co56,	xn_ni56,
0.6253870071598915	6.733242686712355e-23	0.0	0.007001250121942829	0.49649935351078134	2.6863566668658023e-14	0.49649933362280135	0.0	5.84138700672625e-08	2.6977997133560593e-16	2.3550571274563338e-09	1.0359293779526687e-09	0.0	0.0	9.3959067035689e-10
0.6264189448086291	5.907607949844412e-23	0.0	0.00691516361538118	0.49654239281919005	2.3723293618085124e-14	0.49654238287451125	0.0	5.699944859478723e-08	2.3913951009504987e-16	1.960671176374982e-09	8.935383726805033e-10	0.0	0.0	8.372353409860322e-10
0.6274509563547106	9.070193777983418e-23	0.0	0.006958302819163787	0.4965208261961312	3.012064170082429e-14	0.496520806307464	0.0	5.999420052195513e-08	3.0381731174419825e-16	2.429843225924293e-09	1.1269217186857842e-09	0.0	0.0	1.126245305113032e-09
0.6284829219114875	5.375993474238526e-23	0.0	0.006913915509203213	0.49654301852529115	2.0551405186676768e-14	0.49654300858060246	0.0	5.402832398885155e-08	2.0467337761098079e-16	1.872916430405807e-09	7.904103683867947e-10	0.0	0.0	6.932316365522697e-10
0.6295149706420833	3.6225352712605394e-23	0.0	0.006701779754384491	0.49664909186171213	1.6059468307216825e-14	0.4966490719689406	0.0	5.368935811372202e-08	1.6083037262974494e-16	1.5716895882626161e-09	6.538309014184088e-10	0.0	0.0	5.000678436911831e-10
0.6305469233061322	7.460624245601008e-23	0.0	0.00687622231096217	0.49656186388258905	2.4693101388840663e-14	0.49656185393759883	0.0	5.587323833922596e-08	2.4877297524915265e-16	2.174866725448362e-09	9.533816673044248e-10	0.0	0.0	8.67338238588559e-10
0.6315789384684666	7.431360524677174e-23	0.0	0.00694866340611606	0.4965256469571424	2.5429836971824756e-14	0.4965256270683211	0.0	5.859570545464372e-08	2.578374760803515e-16	2.083963524272178e-09	9.457827256560322e-10	0.0	0.0	9.429431389723379e-10
0.632611003550815	8.187122858019417e-23	0.0	0.006709091662242461	0.4966454243923854	2.7786218027361388e-14	0.4966454243923854	0.0	5.516824118537488e-08	2.805506327512519e-16	2.32483802680015e-09	1.052749416359118e-09	0.0	0.0	1.007130088987236e-09
0.6336428933235075	7.009166401595987e-23	0.0	0.00667921870680867	0.49666037105421396	2.466058836138862e-14	0.49666035116108137	0.0	5.550781162887216e-08	2.5088942210501915e-16	1.7913489313163415e-09	8.738185175466846e-10	0.0	0.0	9.048919784476389e-10
0.6346749541606895	3.311486752392499e-23	0.0	0.006698631775000889	0.4966506676386888	1.7145817184102453e-14	0.49665064774586687	0.0	5.0032596595599964e-08	1.7177453733472893e-16	1.574912524687766e-09	6.827971919323954e-10	0.0	0.0	5.501197581759937e-10
0.6357068383517742	1.5156924390290303e-22	0.0	0.006731070972402539	0.49663444044933	3.812923228343661e-14	0.49663442055702695	0.0	6.247544187090083e-08	3.891938340417104e-16	2.6844880778165842e-09	1.3487632936540401e-09	0.0	0.0	1.51250887484992e-09
0.636738904377493	6.604649492054018e-23	0.0	0.00694169798846749	0.49652912752620215	2.314177376770207e-14	0.49652911758173573	0.0	5.320787055214632e-08	2.3237401745669576e-16	1.9989617574878366e-09	8.888297257476705e-10	0.0	0.0	8.079092456669318e-10
