q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ca40,	xn_ti44,	xn_ni56,
0.2600619546383743	6.732811770681983e-20	0.0	0.005934758993350932	0.49699172953606674	3.906307525919145e-11	0.4967832393852398	0.0	0.00027950473220061234	4.816194284153652e-13	8.555352289152714e-06	1.7984079010126021e-06	9.169440933399575e-08	5.58045213703662e-10	3.2130095243702825e-07
0.261093876249816	7.037335012807093e-20	0.0	0.005886954609719421	0.4970173869709116	3.7404912112600465e-11	0.4968194968327632	0.0	0.00026606745574333634	4.58429010032127e-13	7.981360871837384e-06	1.7055377906464791e-06	9.035100307459401e-08	5.467429616846428e-10	3.1629659080860614e-07
0.2621258248259268	7.999101738854529e-20	0.0	0.005813823671054374	0.4970551266059236	3.5369369375307406e-11	0.49687369647575885	0.0	0.0002477163277209511	4.354754224263426e-13	7.4922586752263725e-06	1.7198289338695501e-06	9.37990622949527e-08	5.455787414185783e-10	3.3045148707824635e-07
0.2631578134166631	8.073067993226567e-20	0.0	0.005769499982858092	0.4970757859150992	3.659533899427588e-11	0.496882035788064	0.0	0.0002628502423416534	4.498971449817247e-13	7.775532298142883e-06	1.6534972841399773e-06	8.27596122625652e-08	5.219404122179596e-10	3.157234570087595e-07
0.2641898835303201	7.679642311272292e-20	0.0	0.005891076051002782	0.4970158802100947	3.4895385588180735e-11	0.4968200300720937	0.0	0.000263057735357205	4.347100863078395e-13	7.843946527045242e-06	1.7195451116354431e-06	9.063021286036482e-08	5.131276915628888e-10	3.012611422763022e-07
0.2652218486154119	9.101763954990177e-20	0.0	0.005783180401443728	0.4970679925216678	3.603779055807701e-11	0.49686347237662165	0.0	0.00027521341518193403	4.418114333335996e-13	8.03088019551716e-06	1.7143699158347572e-06	9.067482330677578e-08	5.178644272705431e-10	3.048058061689201e-07
0.2662539009622607	7.51000593017556e-20	0.0	0.005775557014638124	0.49707577970191574	3.258891496006076e-11	0.49689475958548984	0.0	0.0002448485574781071	4.0223172870150887e-13	7.130032585789873e-06	1.5553355003378948e-06	8.477210052247735e-08	4.843773715347396e-10	2.844829229695575e-07
0.2672858539407664	6.191748799959138e-20	0.0	0.005659603438996695	0.4971339272136448	3.4884676662816643e-11	0.4969536170913376	0.0	0.00024328908502675562	4.4031921867534775e-13	7.475331170632946e-06	1.7164603643016574e-06	8.867727715117093e-08	4.982156979474266e-10	2.8216864139936104e-07
0.26831785605314434	9.370090457233825e-20	0.0	0.005666781065640316	0.49713041789422857	3.407763084768799e-11	0.49695263776981724	0.0	0.00024074635847544558	4.2518065754344445e-13	7.299425308172515e-06	1.7123618983189928e-06	9.124668285486225e-08	5.064369744070011e-10	3.133370092747279e-07
0.26934980895303584	9.013640331187913e-20	0.0	0.005733718409310362	0.4970955715856837	3.3660888776214776e-11	0.4969020714605028	0.0	0.00025928430773861235	4.0960482498535743e-13	7.398304186179654e-06	1.5667915136033166e-06	8.327317687185694e-08	4.763700581777421e-10	3.0535744754467583e-07
0.2703818690826901	6.661869663533795e-20	0.0	0.005639209101146399	0.49714711339400836	2.990569744591365e-11	0.49698321330387546	0.0	0.0002222437022175387	3.7128228417769543e-13	6.470652258378416e-06	1.3971448683259657e-06	7.137679225193733e-08	4.395519517209448e-10	2.8085500444940415e-07
0.27141382158951055	7.080562744274171e-20	0.0	0.005676835702843533	0.49712832799169904	2.926301954101792e-11	0.49697186789791276	0.0	0.00021477604874237108	3.664159996393167e-13	6.392471631814393e-06	1.4720658823947235e-06	7.858981610878763e-08	4.40493504043307e-10	2.4876134911404746e-07
0.2724457365187457	7.32826189265068e-20	0.0	0.005738740061561963	0.49709921118408956	3.027306173294691e-11	0.4969448110936472	0.0	0.00020913868250644436	3.7849637171051357e-13	6.346457317542403e-06	1.4417486445281284e-06	7.642686576830143e-08	4.374284162309339e-10	2.3387728699749136e-07
0.27347785340784897	8.26836951332759e-20	0.0	0.005599560995159539	0.49716816144599324	2.9067158624174635e-11	0.49701104135072727	0.0	0.0002129790991347698	3.6491645125834e-13	6.42487919557144e-06	1.4931455053329735e-06	7.874822174709597e-08	4.319530119043511e-10	2.5987467756877927e-07
0.27450976479944533	6.467576750078035e-20	0.0	0.005602570615396307	0.4971660998352448	2.893444254009744e-11	0.4970039997537865	0.0	0.00021934672022582102	3.6103208142535963e-13	6.314645873227415e-06	1.3415509741544046e-06	6.37315350262859e-08	4.138768179808261e-10	2.6270379201355886e-07
0.27554170008975704	7.52167096076425e-20	0.0	0.0056045948473706485	0.4971648946754052	3.043571526397285e-11	0.49700351457326136	0.0	0.00021844981826556501	3.8396248302510337e-13	6.650380009289606e-06	1.5758332974074732e-06	8.194876986863079e-08	4.5416065745631565e-10	2.3743864028434452e-07
0.2765738158782616	8.265963298325254e-20	0.0	0.005583193035732447	0.49717663251856764	2.67868586051832e-11	0.49702022243912614	0.0	0.00021238786787289	3.337412795089116e-13	5.980782837670351e-06	1.3029337617667563e-06	6.564047533913488e-08	3.930266996202813e-10	2.1436147887529715e-07
0.27760570156301606	6.834199884294528e-20	0.0	0.005482888054670734	0.4972301516770475	2.4908840605906497e-11	0.4970942916137455	0.0	0.0001857751365591819	3.1152578515083985e-13	5.408263219900394e-06	1.1954361569958267e-06	5.954900974598185e-08	3.5537304558082343e-10	2.2988899711338385e-07
0.27863771593920844	7.266790011396281e-20	0.0	0.005523424197009327	0.4972090007837206	2.645859087740319e-11	0.49706728070938916	0.0	0.0001929638012085822	3.3223011425309107e-13	5.7234753019351655e-06	1.3036792837734908e-06	6.892719615198164e-08	3.9081696498161144e-10	2.340092827367391e-07
0.27966980657117047	1.0042332336100938e-19	0.0	0.005509333227443269	0.4972161242011176	2.679678023875643e-11	0.4970703341236504	0.0	0.00019659163446107239	3.34642737816006e-13	5.977827076382497e-06	1.3474675159913091e-06	6.96266899968881e-08	3.869462256080249e-10	2.2147796768469229e-07
0.28070175373222567	6.790673930237469e-20	0.0	0.0055247783467086715	0.49720961919436213	2.529621366057399e-11	0.4970769191331925	0.0	0.00018179602380092035	3.2138269814496673e-13	5.380536580218809e-06	1.2372273703138617e-06	5.9348318357274366e-08	3.5745255477177254e-10	2.0980659671270878e-07
0.2817337084402437	5.585075239164005e-20	0.0	0.005449057379761069	0.49724667716201565	2.210128465227068e-11	0.4971026270991048	0.0	0.0001950418251804101	2.7982647220831937e-13	5.253844594505996e-06	1.1090867843702987e-06	5.693830186660438e-08	3.379493775922744e-10	1.7630392699702764e-07
0.2827656593747804	7.124036059243108e-20	0.0	0.005395003541022774	0.49727621656285353	2.213036119269896e-11	0.4971453265084833	0.0	0.00017714371358347282	2.755146444456326e-13	4.991430073382971e-06	1.0635747417967849e-06	5.304874103584037e-08	3.1574119115528e-10	2.0128235361038782e-07
0.2837976430914365	7.837384913435139e-20	0.0	0.005508440609956911	0.4972180055871039	2.438305955294925e-11	0.4970801455217843	0.0	0.00018643610833538269	3.065998452702211e-13	5.4939871031086885e-06	1.2152600758029645e-06	6.087884884503682e-08	3.48216454988607e-10	2.0167388555520134e-07
0.28482971792194534	7.957963116153776e-20	0.0	0.005372643146443161	0.49728363346242604	2.739448351368314e-11	0.49713398338314096	0.0	0.00020196062699937253	3.49269125043876e-13	6.1237472443804645e-06	1.3812893318114128e-06	6.752750977628612e-08	3.8012151138956694e-10	2.0640903935615532e-07
0.2858617036825706	6.381721798508666e-20	0.0	0.005445162787809391	0.49725039805393456	2.386036946323434e-11	0.49711940799649285	0.0	0.00017820137814475724	3.0625619429927537e-13	5.355839948639595e-06	1.2166448335223341e-06	5.672806387635521e-08	3.1646782877727495e-10	2.0023013780479518e-07
0.28689366585893705	5.540370351098015e-20	0.0	0.005446965813146985	0.4972503620369096	2.237697009194689e-11	0.4971255719862064	0.0	0.0001708608294221595	2.839877853865716e-13	4.914464796787445e-06	1.073391136127642e-06	5.2306853252704454e-08	3.1451703779085785e-10	1.9883435078803114e-07
0.28792574556352596	7.436243167946528e-20	0.0	0.005431667913968643	0.49725814183911937	2.3079844832345806e-11	0.49713554178688996	0.0	0.00016824095167306484	2.9467602553622457e-13	5.01120083484362e-06	1.1582183934176915e-06	5.481926335379452e-08	3.2631477901478847e-10	1.8292016792662207e-07
0.28895769964263035	5.49210866400608e-20	0.0	0.005316456801192078	0.4973181778435179	1.9879468108999227e-11	0.4972047578029583	0.0	0.00015499882542837083	2.516968800080885e-13	4.455493293307135e-06	9.608658636105356e-07	4.618087051451493e-08	2.9530244560166123e-10	1.45871442164372e-07
0.2899895997923967	5.193856335606729e-20	0.0	0.005416204709907849	0.49726801616973204	1.9582985543954878e-11	0.49715167613085526	0.0	0.00015861776300455754	2.452869519663959e-13	4.349914253590543e-06	9.18449306913918e-07	4.3833158647522036e-08	2.9668524914192494e-10	1.7271326771478658e-07
0.2910216269040887	4.775022262994906e-20	0.0	0.0052171997169918535	0.4973685332183206	1.8261788360025012e-11	0.49725888318013284	0.0	0.00015002183224803762	2.338115314294394e-13	4.266972286056564e-06	9.198868503685894e-07	4.3935898301536004e-08	2.665806528419269e-10	1.3097219561362903e-07
0.292053655745293	5.4030688491281304e-20	0.0	0.00530416631528006	0.4973257502030939	1.8689302396164063e-11	0.4972175801660742	0.0	0.00014713385035459463	2.379408114320639e-13	4.244201352521212e-06	9.276436774736556e-07	4.31510377678662e-08	2.709496827289091e-10	1.5417925276578947e-07
0.2930856161921474	6.057511566884547e-20	0.0	0.005262001095448284	0.4973469696998436	1.9239360564665473e-11	0.49723915966305776	0.0	0.00014645742997276446	2.453030336998896e-13	4.274062458353574e-06	9.397530306532905e-07	4.3182497734307346e-08	2.6364346995783295e-10	1.5483056282976255e-07
