q_m	density,	T,
0.23839001310580638	336130.14	129869250.0
0.23942203227746472	326572.18	130337010.0
0.24045404665365713	334800.88	130040790.0
0.2414860511244609	334573.8	130251840.0
0.24251801220022873	337345.74	130056130.0
0.24355004206341768	335826.37	130175040.0
0.2445819597441496	340969.63	130252120.0
0.24561399440280438	347249.18	130190970.0
0.2466459609815659	338560.82	130135280.0
0.24767804634637675	343999.85	130316530.0
0.24870995121299483	342824.94	130132860.0
0.2497420456970524	348575.87	130278880.0
0.2507739035523816	349474.73	130367930.0
0.25180597044285646	352751.19	130555700.0
0.2528379209057079	348253.51	130459410.0
0.25386988331791716	358380.35	130576650.0
0.2549019646734041	356438.87	130532450.0
0.2559339061742373	357853.83	130373800.0
0.256965939181994	363134.24	130520380.0
0.25799785041636186	359711.7	130598600.0
0.2590299396332683	365407.69	130429760.0
0.2600619546383743	362687.36	130581820.0
0.261093876249816	371585.57	130391340.0
0.2621258248259268	370113.88	130650060.0
0.2631578134166631	371808.39	130755460.0
0.2641898835303201	364999.34	130820490.0
0.2652218486154119	373181.17	130852070.0
0.2662539009622607	378350.72	130515470.0
0.26728585394076654	377934.04	130745210.0
0.26831785605314445	380884.46	130785680.0
0.26934980895303595	376959.35	130852600.0
0.2703818690826901	379752.17	130701460.0
0.27141382158951055	388320.61	130766310.0
0.2724457365187457	389607.9	130797370.0
0.2734778534078491	393049.58	130719430.0
0.27450976479944533	384998.21	130941330.0
0.27554170008975704	389460.71	130918120.0
0.2765738158782617	398801.08	130721910.0
0.27760570156301606	395297.55	130798180.0
0.27863771593920855	399996.96	130979600.0
0.27966980657117047	394680.71	130982050.0
0.2807017537322258	396089.99	130934560.0
0.2817337084402437	398862.44	130905390.0
0.2827656593747805	401370.85	130709970.0
0.2837976430914365	409871.91	131105720.0
0.28482971792194534	403942.2	131154510.0
0.2858617036825706	422488.72	131079130.0
0.28689366585893716	410589.06	131051830.0
0.28792574556352596	414648.87	131223680.0
0.28895769964263035	421158.64	130988070.0
0.2899895997923967	413412.09	130984830.0
0.29102162690408884	417355.38	130906100.0
0.29205365574529313	415832.51	130925000.0
0.2930856161921474	417743.72	130937850.0
0.29411756366765945	422600.8	131277090.0
0.29514956122041397	420530.15	131239570.0
0.2961816297617871	431371.89	131042950.0
0.29721366426321355	438763.78	131443170.0
0.2982455270712371	431671.83	131094480.0
0.29927753445076616	433598.48	131129780.0
0.3003095651787112	440555.23	131354050.0
0.30134151281145155	433781.21	131401950.0
0.3023736010849878	432268.94	131194770.0
0.30340555233398125	437740.36	131113920.0
0.3044375696975129	434666.22	131199000.0
0.3054694782589982	455597.63	131078440.0
0.30650147062321575	444013.32	131492380.0
