q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ni56,	density,	T,
0.02974371892094196	4.52345457554903e-12	0.0	1.706035106930193e-10	3.9624055581282675e-09	4.5891973228284554e-15	3.343145146272657e-09	0.0	1.011405261001778e-09	3.9943831931121206e-17	2.8926891933991506e-10	1.8050333092589926e-10	6.72367847954937e-09	4.144459986439844e-07	0.9999995698684631
0.030769411648311498	4.016293236189133e-12	0.0	1.5882888710962528e-10	3.9051015931842065e-09	4.382685278740877e-15	3.2933980919487885e-09	0.0	9.982994639992347e-10	3.825940923066833e-17	2.8516640782117627e-10	1.7321633129078224e-10	5.981052879976901e-09	4.5247649380842055e-07	0.9999995327244218
0.031795003040555915	3.658252373930606e-12	0.0	1.4906368586232747e-10	3.869479281271451e-09	4.298786846572219e-15	3.260549765775759e-09	0.0	9.97917709607297e-10	3.7428693159134936e-17	2.867541394374496e-10	1.7084600939641468e-10	5.4715140057048636e-09	4.810856579751888e-07	0.9999995047045548
0.03282072256665175	3.4587627089994254e-12	0.0	1.4045711046764154e-10	3.8185389764357225e-09	4.289983602733885e-15	3.2098530868153447e-09	0.0	1.0047437170194848e-09	3.7425232933912085e-17	2.921638240733848e-10	1.7141930696530257e-10	5.184289573685441e-09	4.991847477645165e-07	0.9999994869903235
0.03384630966172433	3.143846792487203e-12	0.0	1.3008076978804962e-10	3.802452783529177e-09	4.251240646251972e-15	3.189149314031821e-09	0.0	1.0205430165875256e-09	3.7141563923999666e-17	3.005743093629678e-10	1.7249561467612817e-10	4.730202287055401e-09	5.208770115781595e-07	0.9999994657743422
0.0348719574641156	2.648979903469623e-12	0.0	1.1125929989567051e-10	3.7002427571539167e-09	4.274322976209928e-15	3.098346576908921e-09	0.0	1.0152852137010938e-09	3.73667422558866e-17	3.0234382000027397e-10	1.721729897829038e-10	4.021891395960622e-09	5.654070601185857e-07	0.9999994221687446
0.03589763612801358	2.1428165896194843e-12	0.0	9.41982644289464e-11	3.5152461508861047e-09	4.200730225484032e-15	2.9419683646545313e-09	0.0	9.650888135170891e-10	3.6726273057639174e-17	2.855137524895939e-10	1.6385709870561687e-10	3.2912733498729833e-09	6.487986784527963e-07	0.9999993399420287
0.036923248224813424	1.8257785818413983e-12	0.0	8.376841099715648e-11	3.3244767735144335e-09	4.0333322614875156e-15	2.7929119003471787e-09	0.0	8.876721809138143e-10	3.517642953186887e-17	2.571626102882517e-10	1.5197364452819225e-10	2.8305831598699134e-09	7.627201327335679e-07	0.9999992269494887
0.037948831257105464	1.703218523256619e-12	0.0	8.012115929211269e-11	3.1708066675852025e-09	3.782475694174092e-15	2.6690389221461328e-09	0.0	8.2994641839519e-10	3.291815068170923e-17	2.3687842548458735e-10	1.4082148501998456e-10	2.637583342855541e-09	8.730923047443649e-07	0.9999991171407918
0.03897452679716927	1.5546534522807807e-12	0.0	7.941463656227843e-11	3.1212169299137336e-09	3.621134553349221e-15	2.6339864097250764e-09	0.0	8.031211845533522e-10	3.157643580968948e-17	2.2824366764955685e-10	1.3311759772525066e-10	2.412102528290081e-09	9.619624153732281e-07	0.9999990286248235
0.04000013100279885	1.4230167615066436e-12	0.0	7.834247599995229e-11	3.0962709951619575e-09	3.482532562790934e-15	2.6140412799981774e-09	0.0	7.879326114148355e-10	3.05494591163459e-17	2.2251933179179078e-10	1.2623928403818974e-10	2.2142645007318017e-09	1.0481552105126581e-06	0.9999989427037526
0.04102582326138594	1.2814663371648486e-12	0.0	7.55146838431786e-11	3.071946363574717e-09	3.2811153549376283e-15	2.5972963913433235e-09	0.0	7.742632343294764e-10	2.868558000156149e-17	2.1782967005175322e-10	1.2138728997671487e-10	2.003916990003425e-09	1.1424221993023495e-06	0.9999988487143613
0.042051413247283224	1.132178843675373e-12	0.0	7.290827827279442e-11	3.0387900694939285e-09	3.1795281967347566e-15	2.5799277972402305e-09	0.0	7.429003237222891e-10	2.768013118488501e-17	2.049411716669572e-10	1.166125970342728e-10	1.7931655993450202e-09	1.2561106262536196e-06	0.9999987353389925
0.04307713433598693	9.685207059682866e-13	0.0	6.986575233126958e-11	3.0033318079658134e-09	3.0804858223507156e-15	2.556687188200105e-09	0.0	7.183731912868188e-10	2.6722539221944312e-17	1.9505873896939165e-10	1.1088767033906494e-10	1.5537419020174741e-09	1.3850261354706337e-06	0.9999986067649466
0.044102770106296964	8.314121461200597e-13	0.0	6.792950074310462e-11	2.9299168696174352e-09	2.8249663630865537e-15	2.496424317098076e-09	0.0	6.912851217620735e-10	2.4358811718391008e-17	1.8571921586853938e-10	1.0169479874798209e-10	1.3416547874329685e-09	1.52743715145675e-06	0.9999984647473896
0.04512832383969005	7.197864979814486e-13	0.0	6.346623403968059e-11	2.80447969420608e-09	2.6013760341018953e-15	2.387092481584074e-09	0.0	6.57756461679933e-10	2.2328817514657246e-17	1.7394650961607807e-10	9.276925054574086e-11	1.1616652105745294e-09	1.724566656525288e-06	0.9999982680914453
0.04615399094028938	5.975780215696718e-13	0.0	5.864353358835069e-11	2.6594140358753175e-09	2.3942246588464637e-15	2.2620997669566618e-09	0.0	6.193178146539909e-10	2.056048382134434e-17	1.6112090518954927e-10	8.442162875620649e-11	9.697627844979006e-10	2.0433850943436808e-06	0.9999979497995252
0.047179605302870596	4.897807058266665e-13	0.0	5.613427570160025e-11	2.5049088068932722e-09	2.1026975215721707e-15	2.1315982608604677e-09	0.0	5.737951578607216e-10	1.806190851279436e-17	1.463464043556061e-10	7.417932880699652e-11	7.939531678739132e-10	2.464939772373718e-06	0.9999975287788203
0.0482052930298948	4.1106457713656994e-13	0.0	5.367240557270722e-11	2.369938129067017e-09	1.893990758359674e-15	2.0209491200671836e-09	0.0	5.286115220819679e-10	1.626343509278475e-17	1.3123419772190286e-10	6.586093675469435e-11	6.67431442018904e-10	2.9386091156311105e-06	0.9999970555527736
0.04923092801890079	3.290491801057623e-13	0.0	5.06952695662486e-11	2.2827342901133208e-09	1.7643780768884366e-15	1.9519016014408857e-09	0.0	4.954808354767795e-10	1.5105302059784253e-17	1.1958152313532736e-10	5.939885681963235e-11	5.397917734087117e-10	3.5187501070203703e-06	0.9999964757499781
0.05025653863122295	2.3928962707584637e-13	0.0	4.751135110966341e-11	2.2276799172405705e-09	1.69922916595649e-15	1.9097775208161048e-09	0.0	4.72296521711124e-10	1.4421556983441238e-17	1.1117627616887057e-10	5.506632217342019e-11	4.0816681505783086e-10	4.202387733558111e-06	0.9999957923803507
0.051282158931714415	1.5453449186422308e-13	0.0	4.925188730889446e-11	2.2094200845067727e-09	1.5749153719211633e-15	1.9116938372439498e-09	0.0	4.3574782175890504e-10	1.3241874162292541e-17	9.752599435475296e-11	4.8168650664670715e-11	2.7961130000865244e-10	5.072417943947873e-06	0.9999949225504804
