remnant_mass_fraction	density,	T,
0.14000008445912449	128065.78	133586130.0
0.14100006619169259	126494.34	133427720.0
0.14200016036172758	130123.78	133422470.0
0.1430000666789215	133555.97	133141370.0
0.1440002153156158	132527.18	132904840.0
0.14500010335029478	137215.25	133308520.0
0.14600022715323946	137218.68	132781310.0
0.14700017521550923	137796.86	132951160.0
0.14800011337475005	141245.95	132594400.0
0.1490000838331006	140882.06	132241890.0
0.15000007737312626	144227.92	132318550.0
0.1510001016887188	147480.95	132156670.0
0.15200017810947897	145905.03	132142650.0
0.15300007391422688	148428.8	132068310.0
0.15400007697639584	150074.38	131884270.0
0.15500018143034544	150580.26	131333940.0
0.15600014373774151	153747.37	131781860.0
0.15700014580960753	155266.23	131810310.0
0.15800006416279044	155391.47	131410240.0
0.15900015520956257	159369.25	131298700.0
0.16000006411677947	161266.96	131087020.0
0.16100015036439141	164675.18	131272070.0
0.16200009705547258	160852.74	131056460.0
0.1630001671535296	161216.26	131058930.0
0.16400017996637317	167306.04	130600050.0
0.1650001345798774	169178.73	130698260.0
0.16600010747589666	169044.85	130698080.0
0.16700013727624374	171987.44	130575770.0
0.1680000929562281	172536.63	130485470.0
0.1690001393631928	176669.55	130623710.0
0.17000010898359474	176521.72	130244930.0
0.17100008431728264	175784.41	130334180.0
0.1720000714584281	180810.61	130398610.0
0.17300013949970228	181589.92	130193150.0
0.1740001222987505	185201.04	129978460.0
0.1750001520229203	185936.98	129740450.0
0.17600018639389603	182679.54	129925820.0
0.1770001146501079	189440.03	129672800.0
0.1780000947067789	187309.37	129385630.0
0.17900008222881003	193386.43	129706840.0
0.1800001377770324	189149.86	129662030.0
0.18100006306233563	194484.14	129697660.0
0.18200007183779043	197472.01	129172510.0
0.18300021148558143	199524.26	129454490.0
0.18400012869610727	200118.4	129257980.0
0.18500018241607796	201361.14	129367650.0
0.18600012232739316	200809.82	129327050.0
0.1870001151056474	204339.99	129387360.0
0.18800017019680682	204316.52	129109060.0
0.1890001419501688	212671.41	129049690.0
0.19000007005402642	208641.66	128906990.0
0.19100014091385487	208174.51	128898770.0
0.19200011076278822	212898.89	129206590.0
0.19300017286224502	215760.67	128911730.0
0.19400009167249088	213781.33	128861280.0
0.19500018401427444	217873.44	129083000.0
0.1960000910932399	221846.83	128985450.0
0.19700011259027805	225136.16	128839360.0
0.19800013340172185	221629.6	128971170.0
0.1990000684376998	222182.58	128416620.0
0.20000020389574769	223412.18	128961800.0
0.2010001289525195	226221.37	128794360.0
0.20200006429320605	228268.52	128777160.0
0.20300008518082702	233072.49	128793480.0
0.20400014994648386	234404.42	128771470.0
0.20500012337574314	233504.04	128484800.0
0.20600017168713647	235814.44	128717780.0
0.20700012698623516	238976.63	128587860.0
0.20800016600401683	238858.24	128791710.0
0.20900013966180753	242682.14	128836490.0
0.21000006433769358	236582.22	128760510.0
0.21100016490660878	246063.2	128558120.0
0.21200011434006727	245928.13	128816200.0
0.21300022694497156	250640.1	128784320.0
0.2140001806443501	248482.48	128756360.0
0.2150000577856973	255043.59	128661890.0
0.21600011325774238	251909.05	128780040.0
0.21700008501110435	250352.05	128537430.0
0.21800013873107504	257934.95	128792140.0
0.21900014301207837	254401.27	128721530.0
0.22000016961298519	262347.03	128794460.0
0.22100016673333678	261205.68	128790150.0
0.22200010778730916	261251.33	128866470.0
0.22300006758085933	262765.38	128877060.0
0.22400018170930658	267734.88	128708200.0
0.22500015232001136	267063.58	128656600.0
0.22600012148335047	267356.88	129131580.0
0.22700008645694658	271739.53	128871590.0
0.22800013888190584	273732.73	129024370.0
0.22900019450630527	280439.96	128812680.0
0.23000006128756068	272056.82	129196780.0
0.23100012932883474	277247.86	129040550.0
0.23200008119996185	284624.01	128858200.0
0.23300013149196108	280459.52	128925560.0
0.2340001028644373	278174.14	129247680.0
0.23500010760250345	287673.96	129016500.0
