"r_inner,","r_outer,","mass,","density,","l_z,","v_r,","u,","p,","T,","xn_n,","xn_p,","xn_he4,","xn_b11,","xn_c12,","xn_c13,","xn_n13,","xn_n14,","xn_n15,","xn_o15,","xn_o16,","xn_o17,","xn_f18,","xn_ne19,","xn_ne20,","xn_ne21,","xn_ne22,","xn_na22,","xn_na23,","xn_mg23,","xn_mg24,","xn_mg25,","xn_mg26,","xn_al25,","xn_al26,","xn_al27,","xn_si28,","xn_si29,","xn_si30,","xn_p29,","xn_p30,","xn_p31,","xn_s31,","xn_s32,","xn_s33,","xn_cl33,","xn_cl34,","xn_cl35,","xn_ar36,","xn_ar37,","xn_ar38,","xn_ar39,","xn_k39,","xn_ca40,","xn_sc43,","xn_ti44,","xn_v47,","xn_cr48,","xn_mn51,","xn_fe52,","xn_fe54,","xn_co55,","xn_ni56,","xn_ni58,",xn_ni59
6.1244841E8,6.1316276E8,1.3128873E30,389460.71,-1.6710456E16,3564519.6,2.9077974E16,7.2187523E21,1.3091812E8,2.8690842E-25,7.5216662E-20,0.0056045913,1.0321129E-23,0.49716458,1.7983482E-10,1.0705763E-9,3.0435696E-11,1.9323573E-11,1.3543439E-11,0.4970032,1.5284074E-12,1.1271279E-11,6.3253929E-12,2.1844968E-4,1.5708415E-11,3.8396224E-13,2.1683426E-11,2.9271892E-9,2.151186E-13,6.6503758E-6,3.443504E-9,1.8604177E-10,7.6991166E-15,2.8689586E-9,5.3229323E-9,1.5758323E-6,2.6631082E-9,6.1974304E-10,6.6475285E-17,3.1061427E-10,2.1238087E-9,7.6912793E-19,5.0016276E-7,7.4376069E-10,1.2558939E-18,2.8685248E-10,2.157504E-11,9.2967387E-8,1.7622189E-10,7.2025318E-14,7.5834487E-17,1.0926398E-11,8.1948718E-8,5.1324741E-16,4.5416037E-10,2.6426346E-14,1.5264638E-9,1.18082E-13,1.1414699E-8,1.8462401E-12,1.9387663E-13,2.3743849E-7,2.1617688E-9,5.5664495E-11
6.1316276E8,6.1388357E8,1.3126577E30,384998.21,-1.6635425E16,3707618.1,2.9029816E16,7.2108013E21,1.3094133E8,2.3815662E-25,6.4675735E-20,0.0056025678,1.0435707E-23,0.49716585,1.9102412E-10,1.1126979E-9,2.8934428E-11,1.8486699E-11,1.2968292E-11,0.49700375,1.4686841E-12,1.0855947E-11,6.7179522E-12,2.1934661E-4,1.4796936E-11,3.610319E-13,2.0536491E-11,2.8245927E-9,2.0728991E-13,6.3146427E-6,3.1324472E-9,1.7695494E-10,3.3809734E-15,2.9639947E-9,4.9188299E-9,1.3415503E-6,2.447612E-9,6.0473655E-10,1.9007387E-17,3.1365698E-10,2.0869597E-9,2.1108127E-19,3.9492895E-7,8.0132474E-10,3.1186106E-19,2.9946067E-10,2.2616173E-11,7.2402684E-8,1.8292511E-10,7.8981191E-14,7.9716697E-17,1.1462301E-11,6.3731503E-8,5.4947871E-16,4.1387661E-10,2.5353986E-14,1.3700086E-9,9.8212374E-14,1.1317054E-8,1.3494283E-12,1.5456089E-13,2.6270366E-7,2.1437946E-9,5.2458649E-11
6.1388357E8,6.1458796E8,1.3126273E30,393049.58,-1.6747302E16,3720390.7,2.9004588E16,7.2029105E21,1.3071943E8,3.1767967E-25,8.2683645E-20,0.0055995576,9.0607264E-24,0.49716786,1.9066263E-10,1.1396522E-9,2.9067141E-11,1.8515626E-11,1.3008017E-11,0.49701074,1.4844643E-12,1.0650563E-11,6.1357023E-12,2.1297897E-4,1.4887302E-11,3.6491623E-13,2.0657255E-11,2.8032449E-9,2.0653673E-13,6.4248753E-6,3.2876288E-9,1.7885161E-10,4.7650081E-15,2.7891251E-9,5.0879879E-9,1.4931446E-6,2.5714023E-9,5.9603473E-10,3.1630849E-17,3.004624E-10,2.0390865E-9,3.418207E-19,4.7827736E-7,7.4682027E-10,6.4159532E-19,2.8062449E-10,2.0986806E-11,8.9201962E-8,1.7192576E-10,7.0973439E-14,7.6162799E-17,1.0798855E-11,7.8748174E-8,5.1091956E-16,4.3195275E-10,2.5246169E-14,1.4910597E-9,1.1085279E-13,1.1950943E-8,1.7668337E-12,1.8301211E-13,2.5987452E-7,2.2968763E-9,6.0505926E-11
6.1458796E8,6.1529708E8,1.3128887E30,389607.9,-1.6721501E16,3604966.4,2.8944768E16,7.1610537E21,1.3079737E8,2.8397411E-25,7.3282576E-20,0.0057387367,1.1124024E-23,0.49709892,1.788566E-10,1.0767206E-9,3.0273044E-11,1.81646E-11,1.2760698E-11,0.49694452,1.5756421E-12,1.0917066E-11,5.882764E-12,2.0913856E-4,1.4966504E-11,3.7849615E-13,2.0445718E-11,2.7092285E-9,1.9832761E-13,6.3464536E-6,3.3169089E-9,1.7645178E-10,3.9389452E-15,2.6398029E-9,4.9941728E-9,1.4417478E-6,2.4837834E-9,5.7006289E-10,3.0239314E-17,2.8243418E-10,1.9292852E-9,3.2993308E-19,4.6495908E-7,7.0669703E-10,5.7707955E-19,2.6405425E-10,1.9647454E-11,8.6732727E-8,1.6831945E-10,6.7482542E-14,7.0046586E-17,1.0066855E-11,7.6426821E-8,4.8292273E-16,4.3742816E-10,2.6122809E-14,1.4435164E-9,1.1092012E-13,1.0996893E-8,1.747918E-12,1.8226205E-13,2.3387715E-7,2.1286116E-9,5.926803E-11
6.1529708E8,6.1600678E8,1.3126318E30,388320.61,-1.6786741E16,3609291.2,2.8935484E16,7.1366327E21,1.3076631E8,2.744555E-25,7.0805585E-20,0.0056768323,1.131421E-23,0.49712803,1.8097344E-10,1.0600476E-9,2.9263002E-11,1.8190118E-11,1.274401E-11,0.49697157,1.5170821E-12,1.0345139E-11,5.7838152E-12,2.1477592E-4,1.4571119E-11,3.6641578E-13,2.0198269E-11,2.7141381E-9,1.9674185E-13,6.3924678E-6,3.2995659E-9,1.7519794E-10,4.6391786E-15,2.6295368E-9,5.0576003E-9,1.472065E-6,2.5351217E-9,5.7839362E-10,3.0297754E-17,2.8531758E-10,1.960339E-9,3.6083408E-19,4.7547668E-7,7.1012791E-10,6.2451762E-19,2.6520573E-10,1.9922023E-11,8.8896394E-8,1.6355767E-10,6.6370415E-14,7.2138226E-17,1.041737E-11,7.8589769E-8,5.0130589E-16,4.4049324E-10,2.5813678E-14,1.4882119E-9,1.1548055E-13,1.1621834E-8,1.7190043E-12,1.8885595E-13,2.487612E-7,2.110904E-9,5.1038777E-11
6.1600678E8,6.1673083E8,1.3126796E30,379752.17,-1.6781969E16,3662122.5,2.8834947E16,7.0674249E21,1.3070146E8,2.4214767E-25,6.661866E-20,0.005639206,1.1009153E-23,0.49714684,1.9413018E-10,1.1190541E-9,2.9905681E-11,1.8783112E-11,1.3177287E-11,0.49698294,1.6003307E-12,1.0840176E-11,6.5290487E-12,2.2224358E-4,1.4932021E-11,3.7128208E-13,2.0591075E-11,2.7741475E-9,2.0238839E-13,6.4706487E-6,3.2732671E-9,1.800766E-10,4.6177175E-15,2.881956E-9,5.0380853E-9,1.3971441E-6,2.5296739E-9,6.0406337E-10,4.4705157E-17,3.0811046E-10,2.0515287E-9,5.0045617E-19,4.3453484E-7,8.0617209E-10,8.6977084E-19,2.8983941E-10,2.1836749E-11,8.0801101E-8,1.8294135E-10,7.6382999E-14,8.1976703E-17,1.165342E-11,7.1376753E-8,5.6120545E-16,4.3955171E-10,2.6882624E-14,1.4887643E-9,1.0665193E-13,1.255084E-8,1.4658742E-12,1.7021911E-13,2.8085485E-7,2.1878894E-9,4.9185315E-11
6.1673083E8,6.174586E8,1.3128165E30,376959.35,-1.6819257E16,3765257.4,2.8766492E16,6.984092799999999E21,1.308526E8,3.5575081E-25,9.0136345E-20,0.0057337147,1.4441059E-23,0.49709525,2.271832E-10,1.3700711E-9,3.3660867E-11,2.0582688E-11,1.4451095E-11,0.49690175,1.7415296E-12,1.1112466E-11,6.7318317E-12,2.5928414E-4,1.5959278E-11,4.0960456E-13,2.2398711E-11,3.0226997E-9,2.2423311E-13,7.3982994E-6,3.474005E-9,1.9221601E-10,8.6973735E-15,3.0276431E-9,5.3711969E-9,1.5667905E-6,2.671949E-9,6.3296279E-10,6.6411186E-17,3.2328506E-10,2.1675282E-9,7.4281645E-19,5.063264E-7,8.3568926E-10,1.431623E-18,3.0179743E-10,2.2451732E-11,9.4402191E-8,1.9012586E-10,7.8201456E-14,8.2728955E-17,1.1809559E-11,8.3273123E-8,5.6644674E-16,4.7636975E-10,2.8244529E-14,1.6297911E-9,1.1976784E-13,1.3407967E-8,1.8843626E-12,1.9834323E-13,3.0535725E-7,2.7078267E-9,7.6925408E-11
6.174586E8,6.1817711E8,1.3126801E30,380884.46,-1.6904868E16,3867333.4,2.8681599E16,6.929918E21,1.3078568E8,3.6520379E-25,9.3700839E-20,0.0056667771,1.1390347E-23,0.49713007,2.2495194E-10,1.3356526E-9,3.4077607E-11,2.1893682E-11,1.5337545E-11,0.49695229,1.7152933E-12,1.178801E-11,7.0957477E-12,2.4074619E-4,1.6827301E-11,4.2518036E-13,2.3705154E-11,3.2385116E-9,2.3837402E-13,7.2994202E-6,3.6571334E-9,2.0326824E-10,6.579883E-15,3.2418714E-9,5.7242408E-9,1.7123607E-6,2.8715617E-9,6.8264215E-10,5.264368E-17,3.4905678E-10,2.3704658E-9,5.7733047E-19,5.5557109E-7,8.9135625E-10,9.6831689E-19,3.2806321E-10,2.4643588E-11,1.0348954E-7,2.0288227E-10,8.3757519E-14,9.015404E-17,1.2859041E-11,9.1246619E-8,6.1422339E-16,5.0643662E-10,2.9772796E-14,1.7466506E-9,1.3142376E-13,1.4157128E-8,2.0097615E-12,2.1470443E-13,3.1333679E-7,2.7189922E-9,6.8733405E-11
6.1817711E8,6.1889958E8,1.3127427E30,377934.04,-1.6992377E16,3680173.3,2.8641823E16,6.9138094E21,1.3074521E8,2.167243E-25,6.1917446E-20,0.0056595996,1.0237584E-23,0.49713359,2.0098433E-10,1.1675351E-9,3.4884653E-11,2.1849174E-11,1.5289659E-11,0.49695328,1.6991773E-12,1.2334118E-11,7.0175944E-12,2.4328892E-4,1.7436608E-11,4.4031892E-13,2.44851E-11,3.3190889E-9,2.4033766E-13,7.4753261E-6,3.7737784E-9,2.0805964E-10,4.6927924E-15,3.2409047E-9,5.8597959E-9,1.7164592E-6,2.8726383E-9,6.8216289E-10,3.9040431E-17,3.446878E-10,2.3527452E-9,4.7257212E-19,5.4248668E-7,8.4991121E-10,6.3039019E-19,3.2350784E-10,2.4120684E-11,1.0064496E-7,1.9686611E-10,8.0733134E-14,8.7995148E-17,1.2318196E-11,8.8677217E-8,5.8011061E-16,4.9821536E-10,2.9587624E-14,1.6877737E-9,1.3191234E-13,1.3322743E-8,1.898454E-12,2.1410169E-13,2.8216845E-7,2.3396401E-9,5.3758581E-11
6.1889958E8,6.1961955E8,1.3126802E30,378350.72,-1.6957596E16,3613404.5,2.8641039E16,6.9402108E21,1.3051547E8,2.757912E-25,7.5100011E-20,0.0057755533,1.2134386E-23,0.49707546,2.152717E-10,1.3009117E-9,3.2588894E-11,2.0147338E-11,1.4147478E-11,0.49689444,1.5847177E-12,1.1185203E-11,6.4561889E-12,2.448484E-4,1.5609243E-11,4.0223147E-13,2.1655621E-11,2.870759E-9,2.1373055E-13,7.130028E-6,3.5878762E-9,1.9023446E-10,7.6745435E-15,2.8739172E-9,5.3868016E-9,1.5553345E-6,2.6960097E-9,6.2037512E-10,5.0074352E-17,3.095227E-10,2.0906868E-9,5.5756418E-19,5.1391473E-7,8.1416906E-10,9.7857144E-19,2.890007E-10,2.1682361E-11,9.6204838E-8,1.9136236E-10,7.6186998E-14,8.064873E-17,1.1678893E-11,8.4772046E-8,5.6855588E-16,4.8437706E-10,2.8986233E-14,1.6309148E-9,1.2075252E-13,1.2849063E-8,1.9447392E-12,2.0036282E-13,2.8448274E-7,2.6055518E-9,7.3622681E-11
6.1961955E8,6.2034785E8,1.3128066E30,373181.17,-1.6931092E16,3676964.8,2.8558373E16,6.836987E21,1.3085207E8,3.4820147E-25,9.1017575E-20,0.0057831763,1.4372421E-23,0.49706764,2.2361838E-10,1.3270767E-9,3.6037765E-11,2.2454774E-11,1.5739584E-11,0.49686312,1.8511822E-12,1.2357582E-11,7.4159447E-12,2.7521322E-4,1.7482037E-11,4.4181112E-13,2.4347793E-11,3.2906661E-9,2.4081422E-13,8.0308745E-6,3.8884244E-9,2.1312785E-10,7.6386259E-15,3.3396903E-9,5.9552909E-9,1.7143687E-6,2.9458045E-9,7.0061417E-10,6.9444645E-17,3.5534406E-10,2.3793725E-9,7.5111444E-19,5.5305172E-7,9.1136019E-10,1.2752178E-18,3.3166065E-10,2.489833E-11,1.0296691E-7,2.1306013E-10,8.7430877E-14,9.2555919E-17,1.3206291E-11,9.0674759E-8,6.3512742E-16,5.1786406E-10,3.0896591E-14,1.7600867E-9,1.316189E-13,1.4082947E-8,2.0004921E-12,2.1865345E-13,3.0480559E-7,2.6546255E-9,6.9009895E-11
6.2034785E8,6.2109065E8,1.3126956E30,364999.34,-1.693555E16,3869260.4,2.8390615E16,6.7175334E21,1.3082049E8,2.760371E-25,7.6796369E-20,0.0058910719,1.281601E-23,0.49701553,2.2175214E-10,1.3256999E-9,3.4895361E-11,2.1913277E-11,1.5393397E-11,0.49681968,1.7953287E-12,1.2390229E-11,7.2170892E-12,2.6305755E-4,1.7352082E-11,4.3470978E-13,2.4060485E-11,3.2681834E-9,2.4033929E-13,7.843941E-6,3.9202062E-9,2.1233411E-10,4.3872942E-15,3.2728015E-9,6.0084672E-9,1.7195439E-6,2.9621545E-9,6.9846089E-10,2.9342283E-17,3.5109515E-10,2.3726816E-9,3.2336412E-19,5.5079336E-7,8.7957406E-10,5.1613611E-19,3.257757E-10,2.4710562E-11,1.0277649E-7,2.0446003E-10,8.4413911E-14,8.8896288E-17,1.2842767E-11,9.0630149E-8,6.2117118E-16,5.1312733E-10,3.0551427E-14,1.7489503E-9,1.316698E-13,1.3852037E-8,2.0264702E-12,2.1641538E-13,3.0126093E-7,2.6722168E-9,7.0639811E-11
6.2109065E8,6.2181819E8,1.3128292E30,371808.39,-1.7121702E16,3707731.1,2.8417489E16,6.7245672E21,1.3075546E8,3.0202946E-25,8.0730627E-20,0.0057694962,1.3021534E-23,0.49707546,2.2262068E-10,1.2917523E-9,3.6595315E-11,2.2388555E-11,1.5670387E-11,0.49688171,1.8143489E-12,1.2531567E-11,7.2700066E-12,2.6285007E-4,1.7555915E-11,4.4989685E-13,2.4332583E-11,3.2847707E-9,2.3808532E-13,7.7755272E-6,3.9279797E-9,2.1119089E-10,5.2926301E-15,3.291698E-9,5.9933458E-9,1.6534962E-6,2.9920167E-9,7.034906E-10,4.5263648E-17,3.520701E-10,2.3874589E-9,5.2417556E-19,5.0812584E-7,9.1864699E-10,8.7672072E-19,3.3384374E-10,2.5344874E-11,9.3969558E-8,2.1250868E-10,8.698955E-14,9.3833668E-17,1.3602905E-11,8.2759558E-8,6.6754367E-16,5.2194007E-10,3.1626911E-14,1.7295489E-9,1.2559849E-13,1.4259981E-8,1.6976358E-12,2.0383174E-13,3.1572325E-7,2.5083215E-9,5.9635153E-11
6.2181819E8,6.225473E8,1.3127255E30,370113.88,-1.7005509E16,3645310.3,2.8441013E16,6.7695084E21,1.3065006E8,2.876331E-25,7.999096E-20,0.0058138195,1.2379404E-23,0.49705477,2.3508696E-10,1.4016942E-9,3.5369344E-11,2.2097614E-11,1.5494191E-11,0.49687334,1.828098E-12,1.1990361E-11,6.9402388E-12,2.4771615E-4,1.6948136E-11,4.3547511E-13,2.3622854E-11,3.1533919E-9,2.3240786E-13,7.4922533E-6,3.9001129E-9,2.065373E-10,7.0298483E-15,3.1282257E-9,5.9278601E-9,1.7198277E-6,2.9749325E-9,6.8571382E-10,6.0595344E-17,3.405903E-10,2.3202487E-9,6.7196652E-19,5.6530471E-7,8.9124127E-10,1.0758225E-18,3.1950882E-10,2.3941751E-11,1.0606807E-7,2.0687384E-10,8.2443933E-14,9.0849269E-17,1.3045627E-11,9.3798995E-8,6.3124369E-16,5.4557835E-10,3.2147204E-14,1.8517002E-9,1.3574296E-13,1.515426E-8,2.0382707E-12,2.211036E-13,3.3045125E-7,2.8073304E-9,7.382116E-11
